Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards,Season,Season_Year
16.0,Julius Erving,26.0,PHI,SF,82.0,77.0,35.9,8.4,16.7,0.499,4.9,6.3,0.777,2.3,6.1,8.5,3.7,1.9,1.4,3.1,21.6,"MVP-5,AS,NBA2",1976-77,1977
17.0,Rudy Tomjanovich,28.0,HOU,PF,81.0,,38.6,9.0,17.7,0.51,3.5,4.2,0.839,2.1,6.3,8.4,2.1,0.7,0.3,2.4,21.6,AS,1976-77,1977
18.0,George McGinnis,26.0,PHI,PF,79.0,78.0,35.1,8.3,18.2,0.458,4.7,6.9,0.681,4.1,7.4,11.5,3.8,2.1,0.5,3.8,21.4,"MVP-11,AS,NBA2",1976-77,1977
19.0,Paul Westphal,26.0,PHO,PG,81.0,,32.1,8.4,16.3,0.518,4.5,5.4,0.825,0.7,1.6,2.3,5.7,1.7,0.3,2.1,21.3,"AS,NBA1",1976-77,1977
20.0,Bob Dandridge,29.0,MIL,SF,70.0,,35.7,8.4,17.9,0.467,4.0,5.2,0.771,2.1,4.2,6.3,3.8,1.4,0.4,3.2,20.8,,1976-77,1977
21.0,John Williamson,25.0,2TM,SG,72.0,,34.5,8.6,18.7,0.459,3.6,4.6,0.787,0.6,2.1,2.7,2.8,1.5,0.2,3.4,20.8,,1976-77,1977
22.0,John Williamson,25.0,NYN,SG,42.0,,34.0,8.5,19.1,0.445,3.8,4.9,0.789,0.6,2.3,2.8,2.1,1.4,0.1,3.4,20.8,,1976-77,1977
23.0,John Williamson,25.0,IND,SG,30.0,,35.2,8.7,18.1,0.48,3.3,4.2,0.784,0.6,1.9,2.5,3.7,1.6,0.2,3.4,20.7,,1976-77,1977
24.0,Randy Smith,28.0,BUF,SG,82.0,,37.7,8.6,18.3,0.467,3.6,4.7,0.762,1.6,3.9,5.6,5.4,2.1,0.1,3.2,20.7,,1976-77,1977
25.0,Tiny Archibald,28.0,NYN,PG,34.0,,37.6,7.4,16.5,0.446,5.8,7.4,0.785,0.6,1.7,2.4,7.5,1.7,0.3,2.3,20.5,,1976-77,1977
26.0,Adrian Dantley,21.0,BUF,SF,77.0,,36.6,7.1,13.6,0.52,6.2,7.6,0.818,3.3,4.4,7.6,1.9,1.2,0.2,2.8,20.3,ROY-1,1976-77,1977
27.0,Phil Chenier,26.0,WSB,SG,78.0,,36.4,8.4,18.9,0.444,3.5,4.1,0.841,0.7,3.1,3.8,3.8,1.5,0.5,2.1,20.2,AS,1976-77,1977
28.0,Maurice Lucas,24.0,POR,PF,79.0,,36.2,8.0,17.2,0.466,4.2,5.5,0.765,3.4,7.9,11.4,2.9,1.1,0.7,3.7,20.2,"MVP-9,AS",1976-77,1977
29.0,Earl Monroe,32.0,NYK,SG,77.0,76.0,34.5,8.0,15.4,0.517,4.0,4.8,0.839,0.6,2.3,2.9,4.8,1.2,0.3,2.6,19.9,AS,1976-77,1977
30.0,Jo Jo White,30.0,BOS,PG,82.0,82.0,40.6,7.8,18.1,0.429,4.1,4.7,0.869,1.1,3.6,4.7,6.0,1.4,0.3,2.4,19.6,"MVP-11,AS,NBA2",1976-77,1977
31.0,Bubbles Hawkins,22.0,NYN,SG,52.0,,28.5,7.8,17.5,0.447,3.7,5.4,0.688,1.3,1.7,3.0,1.8,1.5,0.5,3.1,19.3,,1976-77,1977
